"T","Distance","Radius","FreeRadius","BRadius","X","Y","Z"
0.232,8.300,2.121,2.249,4.026,-12.629,5.082,3.898
0.236,8.428,2.118,2.316,4.023,-12.688,5.008,3.812
0.240,8.575,2.115,2.389,4.020,-12.757,4.938,3.702
0.243,8.745,2.115,2.429,4.021,-12.835,4.874,3.567
0.247,8.935,2.121,2.422,4.027,-12.922,4.818,3.407
0.251,9.140,2.136,2.401,4.041,-13.014,4.768,3.231
0.255,9.355,2.160,2.405,4.066,-13.109,4.725,3.043
0.259,9.571,2.195,2.443,4.102,-13.204,4.690,2.852
0.262,9.783,2.240,2.501,4.146,-13.295,4.660,2.662
0.266,9.984,2.291,2.568,4.197,-13.381,4.638,2.482
0.270,10.167,2.343,2.636,4.250,-13.458,4.621,2.318
0.274,10.324,2.393,2.703,4.300,-13.524,4.611,2.175
0.278,10.449,2.435,2.762,4.342,-13.576,4.607,2.061
0.281,10.541,2.467,2.813,4.375,-13.614,4.608,1.978
0.285,10.603,2.488,2.851,4.397,-13.638,4.614,1.922
0.289,10.639,2.498,2.876,4.407,-13.652,4.623,1.889
0.293,10.658,2.499,2.891,4.407,-13.657,4.635,1.876
0.297,10.671,2.493,2.897,4.401,-13.655,4.648,1.878
0.300,10.693,2.480,2.896,4.389,-13.648,4.661,1.894
0.304,10.722,2.465,2.889,4.373,-13.637,4.673,1.918
0.308,10.755,2.448,2.878,4.356,-13.625,4.684,1.947
0.312,10.788,2.430,2.864,4.338,-13.614,4.692,1.978
0.316,10.819,2.414,2.848,4.322,-13.605,4.696,2.007
0.319,10.845,2.400,2.833,4.308,-13.598,4.698,2.032
0.323,10.865,2.390,2.820,4.299,-13.595,4.697,2.051
0.327,10.876,2.385,2.811,4.293,-13.595,4.694,2.062
0.331,10.883,2.383,2.807,4.292,-13.600,4.691,2.063
0.335,10.899,2.384,2.806,4.292,-13.610,4.686,2.052
0.338,10.929,2.390,2.813,4.298,-13.626,4.681,2.026
0.342,10.977,2.410,2.836,4.318,-13.648,4.676,1.984
0.346,11.045,2.450,2.883,4.359,-13.676,4.672,1.922
0.350,11.133,2.497,2.939,4.406,-13.712,4.668,1.842
0.354,11.239,2.522,2.978,4.430,-13.753,4.664,1.744
0.357,11.361,2.508,2.980,4.414,-13.800,4.658,1.633
0.361,11.495,2.469,2.960,4.372,-13.852,4.649,1.509
0.365,11.639,2.429,2.943,4.330,-13.908,4.636,1.377
0.369,11.790,2.397,2.940,4.298,-13.967,4.617,1.239
0.373,11.947,2.364,2.950,4.265,-14.028,4.591,1.096
0.376,12.108,2.319,2.970,4.220,-14.091,4.557,0.953
0.380,12.269,2.262,3.001,4.164,-14.155,4.514,0.811
0.384,12.431,2.199,3.049,4.101,-14.219,4.461,0.672
0.388,12.594,2.136,3.114,4.038,-14.283,4.398,0.536
0.392,12.759,2.079,3.185,3.981,-14.347,4.326,0.402
0.395,12.927,2.032,3.251,3.934,-14.410,4.247,0.268
0.399,13.098,2.000,3.308,3.902,-14.472,4.160,0.135
0.403,13.272,1.984,3.363,3.886,-14.534,4.067,0.001
0.407,13.450,1.983,3.422,3.885,-14.593,3.968,-0.135
0.411,13.632,1.990,3.471,3.892,-14.652,3.864,-0.272
0.414,13.819,1.992,3.491,3.894,-14.708,3.755,-0.413
0.418,14.010,1.983,3.469,3.886,-14.763,3.643,-0.557
0.422,14.202,1.971,3.427,3.873,-14.816,3.529,-0.703
0.426,14.394,1.967,3.393,3.868,-14.870,3.414,-0.847
0.430,14.585,1.978,3.378,3.875,-14.925,3.299,-0.989
0.433,14.771,2.005,3.379,3.898,-14.983,3.187,-1.126
0.437,14.951,2.046,3.388,3.938,-15.044,3.079,-1.257
0.441,15.124,2.096,3.406,3.987,-15.109,2.975,-1.378
0.445,15.287,2.143,3.435,4.036,-15.179,2.878,-1.489
0.449,15.441,2.182,3.476,4.075,-15.257,2.788,-1.587
0.452,15.584,2.211,3.526,4.104,-15.340,2.708,-1.671
0.456,15.718,2.230,3.581,4.123,-15.428,2.636,-1.742
0.460,15.844,2.243,3.629,4.135,-15.518,2.571,-1.802
0.464,15.961,2.258,3.650,4.150,-15.606,2.514,-1.853
0.468,16.068,2.279,3.629,4.174,-15.689,2.464,-1.897
0.471,16.164,2.305,3.576,4.205,-15.765,2.419,-1.936
0.475,16.248,2.328,3.519,4.234,-15.831,2.380,-1.972
0.479,16.320,2.342,3.473,4.253,-15.884,2.346,-2.005
0.483,16.378,2.341,3.441,4.257,-15.921,2.317,-2.039
0.487,16.425,2.324,3.420,4.241,-15.941,2.292,-2.074
0.490,16.467,2.295,3.410,4.208,-15.944,2.272,-2.111
0.494,16.507,2.267,3.416,4.176,-15.935,2.259,-2.147
0.498,16.549,2.253,3.442,4.159,-15.915,2.256,-2.184
0.502,16.594,2.256,3.478,4.163,-15.888,2.264,-2.220
0.506,16.645,2.278,3.507,4.187,-15.857,2.284,-2.254
0.510,16.702,2.315,3.518,4.225,-15.824,2.318,-2.285
0.513,16.768,2.344,3.508,4.253,-15.792,2.369,-2.314
0.517,16.846,2.340,3.475,4.245,-15.764,2.437,-2.338
0.521,16.938,2.299,3.423,4.198,-15.742,2.524,-2.359
0.525,17.037,2.236,3.364,4.132,-15.725,2.620,-2.379
0.529,17.137,2.165,3.306,4.066,-15.712,2.715,-2.402
0.532,17.227,2.104,3.249,4.014,-15.701,2.800,-2.432
0.536,17.303,2.070,3.189,3.988,-15.691,2.863,-2.474
0.540,17.369,2.073,3.127,3.995,-15.681,2.895,-2.530
0.544,17.447,2.110,3.067,4.029,-15.668,2.885,-2.606
0.548,17.565,2.172,3.013,4.083,-15.651,2.822,-2.705
0.551,17.744,2.227,2.966,4.128,-15.628,2.697,-2.831
0.555,17.994,2.219,2.924,4.115,-15.599,2.502,-2.986
0.559,18.308,2.110,2.883,4.006,-15.565,2.247,-3.165
0.563,18.666,1.943,2.851,3.845,-15.528,1.949,-3.361
0.567,19.052,1.793,2.837,3.699,-15.489,1.624,-3.564
0.570,19.446,1.710,2.847,3.617,-15.452,1.287,-3.766
0.574,19.833,1.697,2.874,3.603,-15.417,0.955,-3.960
0.578,20.192,1.747,2.913,3.653,-15.388,0.643,-4.137
0.582,20.506,1.824,2.958,3.730,-15.367,0.369,-4.288
0.586,20.758,1.866,3.006,3.772,-15.354,0.147,-4.406
0.589,20.932,1.826,3.052,3.732,-15.353,-0.009,-4.485
0.593,21.034,1.741,3.091,3.648,-15.361,-0.102,-4.526
0.597,21.080,1.679,3.117,3.585,-15.374,-0.144,-4.537
0.601,21.100,1.673,3.128,3.580,-15.389,-0.148,-4.526
0.605,21.138,1.707,3.130,3.613,-15.404,-0.124,-4.499
0.608,21.193,1.756,3.126,3.663,-15.413,-0.084,-4.463
0.612,21.251,1.804,3.121,3.710,-15.414,-0.039,-4.427
0.616,21.300,1.838,3.116,3.744,-15.404,-0.001,-4.396
0.620,21.337,1.848,3.115,3.755,-15.378,0.018,-4.379
0.624,21.382,1.837,3.119,3.745,-15.334,0.008,-4.380
0.627,21.457,1.811,3.128,3.717,-15.273,-0.032,-4.402
0.631,21.564,1.778,3.146,3.678,-15.198,-0.097,-4.440
0.635,21.697,1.744,3.171,3.640,-15.111,-0.183,-4.491
0.639,21.852,1.719,3.205,3.611,-15.015,-0.287,-4.553
0.643,22.022,1.705,3.249,3.597,-14.912,-0.404,-4.623
0.646,22.202,1.704,3.305,3.598,-14.807,-0.530,-4.697
0.650,22.387,1.714,3.372,3.612,-14.700,-0.660,-4.772
0.654,22.570,1.732,3.444,3.634,-14.596,-0.791,-4.846
0.658,22.745,1.750,3.509,3.656,-14.497,-0.919,-4.915
0.662,22.912,1.768,3.556,3.674,-14.404,-1.041,-4.979
0.665,23.067,1.787,3.573,3.693,-14.317,-1.156,-5.037
0.669,23.210,1.813,3.549,3.718,-14.236,-1.263,-5.089
0.673,23.341,1.845,3.494,3.750,-14.163,-1.361,-5.135
0.677,23.457,1.880,3.435,3.785,-14.097,-1.448,-5.175
0.681,23.559,1.916,3.392,3.820,-14.038,-1.523,-5.209
0.684,23.644,1.947,3.365,3.852,-13.988,-1.586,-5.237
0.688,23.712,1.970,3.347,3.876,-13.945,-1.634,-5.258
0.692,23.763,1.982,3.333,3.892,-13.911,-1.668,-5.274
0.696,23.797,1.987,3.324,3.900,-13.885,-1.688,-5.283
0.700,23.818,1.987,3.320,3.901,-13.866,-1.697,-5.289
0.703,23.829,1.985,3.321,3.899,-13.855,-1.699,-5.291
0.707,23.834,1.983,3.322,3.897,-13.851,-1.697,-5.290
0.711,23.838,1.983,3.323,3.896,-13.852,-1.695,-5.289
0.715,23.845,1.985,3.322,3.899,-13.859,-1.695,-5.287
0.719,23.858,1.991,3.316,3.905,-13.870,-1.701,-5.286
0.722,23.880,1.997,3.305,3.911,-13.886,-1.716,-5.288
0.726,23.913,2.000,3.288,3.914,-13.906,-1.743,-5.293
0.730,23.959,1.993,3.264,3.906,-13.928,-1.782,-5.300
0.734,24.012,1.978,3.235,3.891,-13.952,-1.828,-5.308
0.738,24.068,1.963,3.202,3.875,-13.976,-1.878,-5.314
0.741,24.123,1.951,3.167,3.863,-13.999,-1.929,-5.316
0.745,24.174,1.949,3.131,3.861,-14.019,-1.975,-5.313
0.749,24.217,1.958,3.096,3.871,-14.036,-2.013,-5.302
0.753,24.253,1.977,3.062,3.889,-14.048,-2.040,-5.281
0.757,24.289,1.989,3.031,3.901,-14.053,-2.051,-5.247
0.760,24.337,1.983,3.005,3.896,-14.051,-2.043,-5.200
0.764,24.401,1.954,2.983,3.867,-14.042,-2.017,-5.142
0.768,24.472,1.905,2.967,3.817,-14.030,-1.982,-5.081
0.772,24.540,1.843,2.957,3.751,-14.016,-1.946,-5.025
0.776,24.592,1.793,2.950,3.697,-14.005,-1.918,-4.983
0.779,24.615,1.782,2.948,3.686,-13.999,-1.906,-4.964
0.783,24.632,1.813,2.947,3.719,-14.001,-1.918,-4.975
0.787,24.700,1.855,2.944,3.766,-14.015,-1.964,-5.024
0.791,24.833,1.879,2.938,3.794,-14.043,-2.050,-5.121
0.795,25.042,1.858,2.944,3.777,-14.089,-2.186,-5.272
0.798,25.326,1.770,2.987,3.691,-14.152,-2.370,-5.479
0.802,25.668,1.610,3.057,3.532,-14.228,-2.589,-5.731
0.806,26.049,1.428,3.061,3.350,-14.312,-2.828,-6.016
0.810,26.453,1.281,2.890,3.203,-14.401,-3.074,-6.323
0.814,26.861,1.202,2.549,3.124,-14.489,-3.313,-6.642
0.817,27.256,1.201,2.161,3.122,-14.573,-3.531,-6.961
0.821,27.621,1.276,1.842,3.198,-14.648,-3.713,-7.268
0.825,27.942,1.373,1.609,3.296,-14.709,-3.846,-7.554
0.829,28.208,1.412,1.441,3.336,-14.753,-3.915,-7.807
0.833,28.424,1.355,1.323,3.280,-14.777,-3.917,-8.021
0.837,28.610,1.268,1.254,3.194,-14.785,-3.863,-8.199
0.840,28.786,1.231,1.239,3.158,-14.779,-3.765,-8.345
0.844,28.961,1.267,1.273,3.194,-14.762,-3.636,-8.463
0.848,29.138,1.347,1.347,3.273,-14.738,-3.487,-8.554
0.852,29.311,1.438,1.447,3.364,-14.710,-3.331,-8.624
0.856,29.473,1.517,1.557,3.443,-14.680,-3.180,-8.676
0.859,29.614,1.560,1.660,3.486,-14.652,-3.047,-8.712
0.863,29.723,1.561,1.743,3.487,-14.629,-2.943,-8.737
0.867,29.795,1.540,1.803,3.466,-14.612,-2.875,-8.753
0.871,29.835,1.524,1.837,3.450,-14.601,-2.838,-8.763
0.875,29.848,1.523,1.848,3.449,-14.595,-2.827,-8.766
0.878,29.856,1.530,1.842,3.456,-14.594,-2.835,-8.765
0.882,29.878,1.540,1.824,3.466,-14.597,-2.856,-8.762
0.886,29.908,1.550,1.799,3.476,-14.603,-2.885,-8.757
0.890,29.941,1.559,1.772,3.486,-14.611,-2.916,-8.752
0.894,29.970,1.567,1.747,3.493,-14.621,-2.944,-8.749
0.897,29.991,1.570,1.727,3.496,-14.632,-2.961,-8.749
0.901,30.004,1.567,1.716,3.493,-14.644,-2.965,-8.753
0.905,30.023,1.558,1.711,3.484,-14.658,-2.958,-8.763
0.909,30.053,1.545,1.711,3.471,-14.674,-2.941,-8.782
0.913,30.095,1.529,1.712,3.456,-14.693,-2.916,-8.811
0.916,30.152,1.515,1.712,3.443,-14.717,-2.886,-8.852
0.920,30.222,1.506,1.709,3.435,-14.747,-2.853,-8.908
0.924,30.309,1.505,1.702,3.434,-14.783,-2.820,-8.979
0.928,30.413,1.505,1.688,3.434,-14.826,-2.787,-9.068
0.932,30.537,1.498,1.667,3.427,-14.878,-2.758,-9.176
0.935,30.682,1.479,1.639,3.408,-14.938,-2.734,-9.305
0.939,30.843,1.443,1.608,3.372,-15.005,-2.715,-9.451
0.943,31.016,1.390,1.577,3.319,-15.076,-2.704,-9.609
0.947,31.198,1.334,1.547,3.263,-15.150,-2.700,-9.775
0.951,31.383,1.291,1.522,3.220,-15.223,-2.703,-9.944
0.954,31.566,1.271,1.500,3.199,-15.294,-2.715,-10.113
0.958,31.745,1.260,1.482,3.189,-15.361,-2.737,-10.277
0.962,31.914,1.247,1.466,3.175,-15.420,-2.768,-10.433
0.966,32.070,1.221,1.448,3.150,-15.470,-2.810,-10.574
0.970,32.211,1.177,1.426,3.106,-15.509,-2.862,-10.700
0.973,32.341,1.113,1.399,3.041,-15.539,-2.924,-10.810
0.977,32.463,1.043,1.367,2.972,-15.560,-2.995,-10.907
0.981,32.580,0.988,1.334,2.917,-15.573,-3.073,-10.992
0.985,32.693,0.958,1.300,2.886,-15.580,-3.157,-11.068
0.989,32.805,0.947,1.256,2.875,-15.582,-3.246,-11.137
0.992,32.917,0.947,1.193,2.875,-15.580,-3.339,-11.199
0.996,33.029,0.955,1.114,2.883,-15.575,-3.434,-11.258
1.000,33.141,0.966,1.026,2.894,-15.570,-3.531,-11.315
