"T","Distance","Radius","FreeRadius","BRadius","X","Y","Z"
0.000,0.000,1.497,2.370,3.423,-7.560,7.648,5.440
0.004,0.191,1.584,2.488,3.510,-7.692,7.521,5.497
0.008,0.381,1.673,2.604,3.599,-7.822,7.396,5.553
0.011,0.566,1.766,2.716,3.693,-7.948,7.272,5.610
0.015,0.744,1.864,2.819,3.790,-8.067,7.151,5.665
0.019,0.915,1.961,2.902,3.887,-8.177,7.033,5.721
0.023,1.075,2.055,2.957,3.980,-8.275,6.919,5.776
0.027,1.224,2.142,2.986,4.066,-8.361,6.810,5.830
0.030,1.360,2.220,3.000,4.143,-8.431,6.707,5.883
0.034,1.481,2.286,3.008,4.209,-8.483,6.611,5.936
0.038,1.590,2.340,3.008,4.264,-8.516,6.521,5.987
0.042,1.687,2.383,2.997,4.305,-8.532,6.439,6.037
0.046,1.776,2.415,2.976,4.336,-8.535,6.363,6.084
0.049,1.858,2.442,2.949,4.359,-8.528,6.293,6.127
0.053,1.934,2.464,2.920,4.378,-8.516,6.230,6.165
0.057,2.002,2.486,2.891,4.397,-8.503,6.171,6.197
0.061,2.062,2.507,2.867,4.416,-8.491,6.118,6.223
0.065,2.114,2.530,2.849,4.439,-8.485,6.069,6.240
0.068,2.160,2.561,2.842,4.471,-8.489,6.025,6.249
0.072,2.203,2.607,2.848,4.516,-8.504,5.984,6.249
0.076,2.249,2.662,2.865,4.569,-8.530,5.947,6.241
0.080,2.297,2.708,2.887,4.613,-8.562,5.913,6.226
0.084,2.346,2.725,2.906,4.629,-8.595,5.884,6.208
0.087,2.391,2.721,2.920,4.625,-8.625,5.858,6.188
0.091,2.429,2.717,2.927,4.621,-8.649,5.835,6.167
0.095,2.458,2.726,2.927,4.631,-8.662,5.817,6.149
0.099,2.479,2.740,2.919,4.644,-8.660,5.801,6.136
0.103,2.504,2.744,2.902,4.647,-8.638,5.790,6.128
0.106,2.549,2.732,2.873,4.635,-8.594,5.782,6.129
0.110,2.608,2.707,2.829,4.610,-8.536,5.777,6.134
0.114,2.670,2.675,2.769,4.580,-8.474,5.774,6.139
0.118,2.722,2.642,2.713,4.549,-8.422,5.773,6.139
0.122,2.754,2.616,2.690,4.525,-8.392,5.772,6.130
0.125,2.778,2.603,2.716,4.512,-8.395,5.771,6.106
0.129,2.844,2.602,2.764,4.510,-8.444,5.769,6.062
0.133,2.971,2.610,2.798,4.517,-8.551,5.765,5.994
0.137,3.174,2.605,2.790,4.512,-8.729,5.758,5.896
0.141,3.463,2.543,2.715,4.452,-8.986,5.748,5.765
0.144,3.830,2.391,2.558,4.301,-9.316,5.735,5.604
0.148,4.256,2.185,2.357,4.097,-9.700,5.719,5.421
0.152,4.720,1.994,2.173,3.907,-10.120,5.703,5.224
0.156,5.202,1.871,2.054,3.781,-10.556,5.686,5.021
0.160,5.682,1.827,2.002,3.733,-10.992,5.669,4.819
0.163,6.141,1.862,2.015,3.768,-11.408,5.654,4.626
0.167,6.557,1.947,2.079,3.854,-11.786,5.641,4.451
0.171,6.912,2.018,2.169,3.927,-12.107,5.631,4.301
0.175,7.187,2.022,2.261,3.932,-12.355,5.625,4.183
0.179,7.381,1.973,2.341,3.882,-12.530,5.622,4.098
0.183,7.506,1.911,2.401,3.820,-12.641,5.621,4.041
0.186,7.573,1.869,2.434,3.778,-12.699,5.618,4.008
0.190,7.595,1.853,2.445,3.762,-12.715,5.614,3.994
0.194,7.612,1.865,2.438,3.774,-12.700,5.605,3.994
0.198,7.653,1.901,2.417,3.810,-12.664,5.590,4.004
0.202,7.706,1.948,2.386,3.857,-12.618,5.568,4.020
0.205,7.764,1.994,2.349,3.903,-12.573,5.536,4.037
0.209,7.821,2.036,2.311,3.945,-12.538,5.493,4.050
0.213,7.878,2.069,2.276,3.979,-12.519,5.439,4.056
0.217,7.941,2.093,2.246,4.003,-12.515,5.377,4.053
0.221,8.012,2.108,2.224,4.018,-12.524,5.307,4.038
0.224,8.095,2.117,2.212,4.026,-12.547,5.234,4.009
0.228,8.190,2.121,2.216,4.028,-12.582,5.158,3.963
