"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,1.50,2.37,3.42,0,0.00,1.37,0,0,2.70,0.64,0.54,66,1.33,1.33,-0.35
2,2.22,3.00,4.15,0,1.37,1.89,0,0,2.73,0.82,0.49,62,1.62,1.62,-0.71
3,2.45,2.94,4.37,0,1.89,2.06,0,0,2.74,0.93,0.46,60,1.80,1.80,-0.93
4,2.51,2.85,4.42,0,2.06,2.31,0,0,2.48,0.87,0.55,61,1.73,1.73,-0.72
5,2.72,2.90,4.62,0,2.31,2.62,0,0,1.75,0.48,1.02,67,1.30,1.30,-0.56
6,2.69,2.80,4.59,0,2.62,2.74,0,0,0.95,-0.06,1.78,75,0.46,0.46,0.10
7,2.61,2.69,4.52,0,2.74,2.93,0,0,1.68,0.34,1.30,65,0.89,0.89,-0.06
8,2.61,2.80,4.52,0,2.93,3.64,0,0,1.32,0.22,1.49,67,0.87,0.87,-0.28
9,2.47,2.63,4.38,0,3.64,4.82,0,0,2.24,0.61,0.84,75,1.40,1.40,-0.70
10,1.96,2.14,3.87,0,4.82,6.09,0,0,2.60,0.71,1.00,67,1.38,1.38,-1.02
11,1.86,2.01,3.76,1,6.09,7.07,0,0,2.20,0.56,1.29,74,1.14,1.14,-0.77
12,1.86,2.21,3.77,0,7.07,8.33,0,0,2.28,0.61,1.34,64,1.07,1.07,-0.54
13,2.12,2.30,4.02,0,8.33,9.31,0,0,1.48,0.08,2.09,71,0.23,0.23,0.12
14,2.16,2.41,4.07,0,9.31,9.88,0,0,1.00,0.40,2.09,55,0.70,0.70,-0.40
15,2.28,2.55,4.19,0,9.88,10.55,0,0,0.58,0.63,1.81,62,1.23,1.23,-0.87
16,2.41,2.85,4.32,0,10.55,10.80,0,0,0.32,0.35,1.78,71,0.95,0.95,-0.54
17,2.39,2.81,4.29,1,10.80,10.84,0,0,0.94,0.41,1.75,68,0.84,0.84,-0.41
18,2.39,2.81,4.29,1,10.84,11.65,0,0,0.32,0.35,1.78,71,0.95,0.95,-0.54
19,2.14,2.94,4.04,0,11.65,12.96,0,0,-1.45,-0.23,2.24,80,0.49,0.49,-0.20
20,1.97,3.29,3.87,1,12.96,14.94,0,0,-0.15,0.41,1.86,79,1.09,1.09,-0.86
21,2.07,3.39,3.96,0,14.94,16.25,0,0,0.03,0.81,1.92,70,1.50,1.50,-1.40
22,2.30,3.41,4.21,0,16.25,16.48,0,0,0.98,0.89,1.47,66,1.65,1.65,-1.50
23,2.13,3.27,4.03,0,16.48,17.28,0,0,2.47,1.55,0.79,60,2.30,2.30,-2.04
24,2.08,3.11,4.00,1,17.28,17.62,0,0,1.68,0.97,1.01,72,1.69,1.69,-1.34
25,2.22,2.97,4.13,0,17.62,18.41,0,0,2.80,1.45,0.62,59,2.25,2.25,-1.98
26,1.70,2.85,3.61,0,18.41,20.90,0,0,2.23,1.33,0.79,44,2.25,2.25,-2.02
27,1.68,3.08,3.59,1,20.90,21.46,0,0,1.35,1.28,0.99,45,2.23,2.23,-1.88
28,1.70,3.15,3.60,0,21.46,23.62,0,0,0.53,1.32,1.28,43,2.28,2.28,-1.90
29,1.97,3.23,3.89,0,23.62,24.00,0,0,1.10,1.33,1.05,45,2.34,2.34,-1.88
30,1.79,2.95,3.70,0,24.00,24.90,0,0,0.20,1.39,1.35,42,2.42,2.42,-1.91
31,1.19,2.28,3.11,1,24.90,27.82,0,0,0.27,0.56,1.21,69,1.50,1.50,-0.83
32,1.26,1.25,3.19,0,27.82,28.85,0,0,0.75,1.23,0.98,50,2.34,2.34,-1.63
33,1.32,1.32,3.25,0,28.85,29.93,0,0,1.10,0.83,0.65,67,1.92,1.92,-0.89
34,1.31,1.53,3.24,0,29.93,31.53,0,0,0.25,0.57,0.81,75,1.63,1.63,-0.43
35,1.01,1.35,2.93,0,31.53,32.58,0,0,1.43,0.76,0.58,68,1.78,1.78,-0.88
36,0.95,1.03,2.87,1,32.58,32.88,0,0,1.73,0.12,1.17,77,0.77,0.77,-0.13

