Radius,1TQY (C16),C16,C18-20,C24-26,Area or Vol
1.1,428.948,540.686,550.56,632.452,Area
1.2,358.022,434.904,476.284,544.266,Area
1.3,306.908,371.894,412.362,464.594,Area
1.4,262.989,319.44,355.127,386.216,Area
1.5,104.712,274.416,298.857,326.452,Area
