"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,1.11,1.30,3.04,0,0.00,0.24,0,0,1.97,0.37,1.66,49,0.69,0.69,-0.27
2,1.18,1.34,3.10,0,0.24,1.27,0,0,1.93,0.28,1.25,66,0.79,0.79,-0.06
3,1.32,1.96,3.25,0,1.27,2.80,0,0,2.70,0.64,0.54,66,1.33,1.33,-0.35
4,1.98,2.70,3.91,0,2.80,3.05,0,0,2.73,0.82,0.49,62,1.62,1.62,-0.71
5,2.08,2.52,4.01,0,3.05,3.61,0,0,2.10,0.50,1.07,62,1.13,1.13,-0.41
6,2.26,2.46,4.19,0,3.61,4.16,0,0,1.68,0.34,1.30,65,0.89,0.89,-0.06
7,2.54,2.54,4.46,0,4.16,4.50,0,0,1.90,0.54,1.11,61,1.21,1.21,-0.41
8,2.61,2.63,4.53,0,4.50,5.27,0,0,1.32,0.22,1.49,67,0.87,0.87,-0.28
9,2.45,2.62,4.37,1,5.27,6.44,0,0,0.95,-0.06,1.78,75,0.46,0.46,0.10
10,2.51,2.74,4.43,0,6.44,7.38,0,0,2.10,0.43,0.97,83,1.13,1.13,-0.43
11,2.20,2.45,4.12,0,7.38,8.46,0,0,1.80,0.45,1.52,66,1.01,1.01,-0.66
12,2.10,2.35,4.00,1,8.46,9.40,0,0,2.20,0.56,1.29,74,1.14,1.14,-0.77
13,2.30,2.49,4.21,0,9.40,9.92,0,0,1.55,0.22,1.81,74,0.64,0.64,-0.37
14,2.44,2.50,4.35,0,9.92,10.05,0,0,0.28,0.37,2.30,38,0.84,0.84,-0.67
15,2.31,2.39,4.21,1,10.05,10.35,0,0,0.50,0.75,1.94,38,1.41,1.41,-1.16
16,2.37,2.54,4.27,0,10.35,10.84,0,0,1.43,0.85,1.49,58,1.51,1.51,-1.20
17,2.30,2.52,4.21,0,10.84,11.56,0,0,0.42,0.09,2.47,61,0.36,0.36,-0.27
18,2.23,2.43,4.14,0,11.56,12.81,0,0,1.35,0.70,1.77,55,1.09,1.09,-0.70
19,2.18,2.64,4.10,1,12.81,13.62,0,0,1.92,0.79,1.44,66,1.23,1.23,-0.82
20,2.21,2.72,4.13,0,13.62,14.73,-1,1,0.58,0.62,13.40,61,1.43,0.78,-0.35
21,2.14,2.76,4.06,0,14.73,15.83,-1,1,1.08,0.88,13.07,75,1.78,1.13,-0.85
22,2.00,3.19,3.91,1,15.83,18.79,-1,1,0.03,0.79,17.38,68,1.77,0.90,-0.70
23,2.37,3.18,4.30,0,18.79,19.12,-1,1,0.98,0.88,13.07,64,1.85,1.20,-0.97
24,2.26,3.12,4.17,0,19.12,20.25,0,0,2.47,1.55,0.79,60,2.30,2.30,-2.04
25,2.23,2.97,4.15,0,20.25,21.08,0,0,2.80,1.45,0.62,59,2.25,2.25,-1.98
26,1.97,3.15,3.88,0,21.08,23.52,0,0,2.23,1.33,0.79,44,2.25,2.25,-2.02
27,1.97,3.30,3.88,0,23.52,23.68,0,0,0.53,1.32,1.28,43,2.28,2.28,-1.90
28,1.86,3.18,3.77,0,23.68,24.47,0,0,1.35,1.28,0.99,45,2.23,2.23,-1.88
29,1.83,3.26,3.74,1,24.47,26.84,0,0,0.53,1.32,1.28,43,2.28,2.28,-1.90
30,2.00,3.27,3.90,0,26.84,27.23,0,0,1.35,1.28,0.99,45,2.23,2.23,-1.88
31,1.83,3.12,3.74,0,27.23,27.37,0,0,0.94,0.87,1.13,58,1.75,1.75,-1.35
32,1.81,3.06,3.73,0,27.37,27.52,0,0,1.40,0.66,0.88,66,1.55,1.55,-1.06
33,1.81,2.59,3.72,0,27.52,28.54,0,0,0.23,0.80,1.38,59,1.67,1.67,-1.24
34,1.55,2.08,3.46,0,28.54,29.40,0,0,0.73,0.69,1.30,62,1.50,1.50,-1.17
35,1.50,1.67,3.41,1,29.40,29.84,0,0,0.45,0.32,1.82,62,0.91,0.91,-0.67

