"T","Distance","Radius","FreeRadius","BRadius","X","Y","Z"
0.000,0.000,1.215,1.435,3.109,-5.971,3.203,11.374
0.005,0.216,1.223,1.396,3.116,-5.833,3.140,11.220
0.010,0.427,1.242,1.373,3.135,-5.702,3.078,11.067
0.015,0.628,1.278,1.376,3.175,-5.586,3.016,10.914
0.020,0.817,1.330,1.409,3.231,-5.493,2.956,10.762
0.025,0.990,1.392,1.471,3.296,-5.431,2.898,10.610
0.030,1.153,1.462,1.561,3.368,-5.407,2.843,10.459
0.034,1.313,1.540,1.678,3.446,-5.429,2.790,10.309
0.039,1.487,1.625,1.780,3.531,-5.505,2.741,10.161
0.044,1.692,1.721,1.825,3.627,-5.639,2.695,10.013
0.049,1.928,1.828,1.854,3.734,-5.823,2.654,9.870
0.054,2.188,1.949,1.939,3.856,-6.041,2.619,9.734
0.059,2.460,2.081,2.080,3.987,-6.279,2.591,9.606
0.064,2.730,2.217,2.243,4.121,-6.523,2.570,9.492
0.069,2.986,2.351,2.412,4.250,-6.758,2.557,9.392
0.074,3.213,2.471,2.579,4.369,-6.970,2.554,9.311
0.079,3.397,2.566,2.720,4.466,-7.144,2.560,9.250
0.084,3.526,2.625,2.801,4.529,-7.266,2.578,9.212
0.089,3.605,2.648,2.828,4.557,-7.339,2.602,9.194
0.094,3.648,2.645,2.842,4.557,-7.372,2.630,9.190
0.099,3.673,2.625,2.856,4.537,-7.374,2.654,9.194
0.103,3.701,2.598,2.861,4.509,-7.353,2.672,9.200
0.108,3.736,2.576,2.852,4.486,-7.318,2.677,9.201
0.113,3.778,2.573,2.823,4.486,-7.279,2.664,9.192
0.118,3.833,2.596,2.783,4.512,-7.245,2.629,9.167
0.123,3.914,2.641,2.746,4.556,-7.223,2.567,9.121
0.128,4.023,2.692,2.723,4.602,-7.215,2.482,9.054
0.133,4.152,2.718,2.710,4.626,-7.216,2.381,8.973
0.138,4.292,2.711,2.703,4.620,-7.223,2.273,8.885
0.143,4.431,2.699,2.701,4.608,-7.231,2.166,8.795
0.148,4.560,2.695,2.701,4.602,-7.236,2.069,8.710
0.153,4.668,2.692,2.696,4.597,-7.234,1.990,8.637
0.158,4.746,2.679,2.681,4.585,-7.220,1.937,8.582
0.163,4.792,2.651,2.651,4.557,-7.190,1.919,8.551
0.167,4.837,2.607,2.607,4.513,-7.149,1.932,8.541
0.172,4.891,2.560,2.561,4.466,-7.107,1.966,8.546
0.177,4.944,2.524,2.525,4.430,-7.074,2.006,8.557
0.182,4.981,2.508,2.508,4.414,-7.063,2.040,8.564
0.187,5.008,2.519,2.520,4.425,-7.084,2.057,8.559
0.192,5.078,2.556,2.584,4.462,-7.148,2.042,8.534
0.197,5.221,2.599,2.696,4.506,-7.266,1.983,8.479
0.202,5.456,2.578,2.740,4.487,-7.449,1.868,8.387
0.207,5.784,2.441,2.620,4.352,-7.697,1.696,8.257
0.212,6.183,2.260,2.426,4.169,-7.993,1.482,8.098
0.217,6.627,2.122,2.276,4.027,-8.320,1.239,7.920
0.222,7.092,2.039,2.197,3.937,-8.661,0.984,7.734
0.227,7.552,2.004,2.183,3.895,-8.999,0.732,7.550
0.232,7.984,2.023,2.197,3.909,-9.317,0.497,7.377
0.236,8.361,2.096,2.196,3.982,-9.598,0.295,7.226
0.241,8.660,2.161,2.173,4.048,-9.825,0.140,7.107
0.246,8.870,2.144,2.138,4.030,-9.989,0.040,7.025
