"T","Distance","Radius","FreeRadius","BRadius","X","Y","Z"
0.251,9.001,2.076,2.110,3.962,-10.099,-0.013,6.976
0.256,9.071,2.033,2.110,3.919,-10.163,-0.029,6.955
0.261,9.099,2.032,2.134,3.918,-10.189,-0.018,6.955
0.266,9.134,2.059,2.167,3.945,-10.187,0.013,6.973
0.271,9.188,2.099,2.199,3.986,-10.166,0.052,7.002
0.276,9.250,2.143,2.228,4.029,-10.133,0.091,7.038
0.281,9.309,2.178,2.251,4.065,-10.099,0.120,7.075
0.286,9.355,2.198,2.268,4.084,-10.071,0.134,7.109
0.291,9.388,2.205,2.274,4.091,-10.056,0.137,7.139
0.296,9.411,2.214,2.265,4.103,-10.059,0.135,7.161
0.300,9.442,2.227,2.249,4.121,-10.087,0.133,7.174
0.305,9.500,2.234,2.243,4.132,-10.145,0.138,7.178
0.310,9.597,2.229,2.257,4.127,-10.240,0.154,7.168
0.315,9.741,2.210,2.283,4.106,-10.378,0.188,7.145
0.320,9.940,2.178,2.304,4.074,-10.565,0.246,7.106
0.325,10.199,2.140,2.285,4.037,-10.802,0.330,7.051
0.330,10.503,2.108,2.232,4.005,-11.079,0.437,6.981
0.335,10.839,2.094,2.198,3.992,-11.381,0.559,6.902
0.340,11.189,2.111,2.215,4.011,-11.694,0.692,6.816
0.345,11.538,2.176,2.273,4.076,-12.003,0.827,6.727
0.350,11.870,2.269,2.360,4.168,-12.294,0.960,6.639
0.355,12.168,2.315,2.464,4.216,-12.553,1.083,6.555
0.360,12.417,2.278,2.573,4.185,-12.764,1.190,6.480
0.365,12.604,2.227,2.678,4.139,-12.917,1.276,6.416
0.369,12.735,2.212,2.765,4.124,-13.017,1.342,6.363
0.374,12.820,2.221,2.821,4.133,-13.074,1.388,6.319
0.379,12.871,2.238,2.840,4.149,-13.098,1.417,6.285
0.384,12.901,2.259,2.848,4.170,-13.099,1.431,6.259
0.389,12.924,2.282,2.865,4.193,-13.087,1.431,6.239
0.394,12.948,2.302,2.882,4.214,-13.072,1.420,6.224
0.399,12.973,2.316,2.888,4.227,-13.064,1.398,6.214
0.404,13.004,2.321,2.879,4.233,-13.072,1.369,6.208
0.409,13.047,2.318,2.859,4.229,-13.098,1.334,6.202
0.414,13.103,2.309,2.833,4.220,-13.138,1.296,6.196
0.419,13.169,2.299,2.811,4.211,-13.190,1.257,6.186
0.424,13.242,2.291,2.797,4.203,-13.250,1.220,6.170
0.429,13.321,2.290,2.796,4.202,-13.318,1.186,6.146
0.433,13.404,2.296,2.804,4.208,-13.389,1.160,6.111
0.438,13.493,2.310,2.814,4.222,-13.461,1.142,6.064
0.443,13.588,2.344,2.816,4.256,-13.532,1.135,6.001
0.448,13.692,2.404,2.803,4.317,-13.601,1.137,5.923
0.453,13.807,2.461,2.784,4.375,-13.669,1.144,5.829
0.458,13.934,2.471,2.775,4.385,-13.735,1.151,5.721
0.463,14.073,2.443,2.781,4.357,-13.800,1.152,5.599
0.468,14.225,2.412,2.804,4.326,-13.865,1.145,5.462
0.473,14.390,2.381,2.848,4.295,-13.931,1.123,5.313
0.478,14.570,2.331,2.920,4.246,-13.997,1.082,5.150
0.483,14.767,2.264,3.017,4.179,-14.065,1.019,4.975
0.488,14.981,2.192,3.126,4.103,-14.133,0.934,4.792
0.493,15.202,2.128,3.241,4.032,-14.199,0.834,4.606
0.498,15.423,2.081,3.360,3.982,-14.261,0.726,4.423
0.502,15.637,2.056,3.470,3.958,-14.319,0.617,4.249
0.507,15.833,2.051,3.548,3.954,-14.368,0.513,4.090
0.512,16.003,2.057,3.584,3.960,-14.409,0.420,3.953
0.517,16.139,2.061,3.580,3.963,-14.438,0.346,3.843
0.522,16.232,2.054,3.553,3.957,-14.453,0.297,3.766
0.527,16.282,2.043,3.526,3.946,-14.456,0.274,3.721
0.532,16.303,2.033,3.513,3.936,-14.451,0.271,3.701
0.537,16.320,2.030,3.503,3.932,-14.440,0.283,3.698
0.542,16.344,2.035,3.492,3.937,-14.428,0.304,3.703
0.547,16.370,2.043,3.479,3.946,-14.419,0.329,3.708
0.552,16.392,2.052,3.463,3.954,-14.417,0.350,3.705
0.557,16.416,2.057,3.441,3.960,-14.425,0.362,3.685
0.562,16.466,2.057,3.411,3.961,-14.448,0.360,3.641
0.567,16.549,2.051,3.374,3.953,-14.486,0.342,3.570
0.571,16.660,2.038,3.331,3.935,-14.535,0.310,3.476
0.576,16.791,2.025,3.286,3.917,-14.592,0.269,3.365
0.581,16.934,2.021,3.240,3.911,-14.651,0.222,3.243
0.586,17.083,2.031,3.196,3.924,-14.710,0.173,3.116
0.591,17.228,2.055,3.154,3.954,-14.763,0.127,2.989
0.596,17.363,2.069,3.113,3.973,-14.806,0.086,2.868
0.601,17.480,2.053,3.073,3.960,-14.835,0.056,2.759
0.606,17.577,2.020,3.032,3.924,-14.849,0.038,2.664
0.611,17.661,1.987,2.987,3.885,-14.849,0.032,2.580
0.616,17.738,1.962,2.937,3.855,-14.838,0.037,2.504
0.621,17.815,1.951,2.880,3.843,-14.820,0.051,2.430
0.626,17.897,1.950,2.816,3.842,-14.799,0.073,2.355
0.631,17.987,1.951,2.742,3.844,-14.776,0.103,2.273
0.635,18.087,1.946,2.659,3.839,-14.755,0.139,2.182
0.640,18.201,1.930,2.566,3.822,-14.740,0.180,2.076
0.645,18.332,1.903,2.464,3.795,-14.732,0.224,1.954
0.650,18.475,1.874,2.357,3.769,-14.731,0.271,1.818
0.655,18.625,1.847,2.250,3.747,-14.735,0.317,1.676
0.660,18.777,1.827,2.147,3.733,-14.744,0.361,1.530
0.665,18.926,1.820,2.053,3.731,-14.755,0.401,1.388
0.670,19.066,1.828,1.972,3.740,-14.767,0.435,1.253
0.675,19.191,1.841,1.906,3.752,-14.779,0.461,1.131
0.680,19.297,1.840,1.858,3.751,-14.790,0.477,1.027
0.685,19.379,1.827,1.829,3.740,-14.798,0.482,0.944
0.690,19.441,1.817,1.816,3.730,-14.803,0.477,0.883
0.695,19.486,1.815,1.814,3.729,-14.806,0.466,0.839
0.700,19.518,1.820,1.820,3.735,-14.808,0.453,0.811
0.704,19.539,1.829,1.828,3.744,-14.808,0.439,0.795
0.709,19.552,1.835,1.837,3.750,-14.807,0.428,0.788
0.714,19.557,1.835,1.841,3.750,-14.806,0.423,0.788
0.719,19.563,1.831,1.837,3.746,-14.804,0.427,0.792
0.724,19.579,1.822,1.824,3.737,-14.802,0.442,0.797
0.729,19.602,1.806,1.805,3.721,-14.801,0.464,0.802
0.734,19.623,1.786,1.786,3.701,-14.800,0.484,0.805
0.739,19.636,1.775,1.774,3.690,-14.800,0.497,0.805
0.744,19.640,1.779,1.776,3.694,-14.800,0.495,0.801
0.749,19.667,1.793,1.797,3.708,-14.802,0.470,0.791
0.754,19.725,1.806,1.844,3.722,-14.804,0.415,0.775
0.759,19.820,1.794,1.926,3.708,-14.808,0.323,0.751
0.764,19.959,1.747,2.048,3.656,-14.813,0.187,0.718
0.768,20.136,1.686,2.203,3.591,-14.820,0.015,0.677
0.773,20.338,1.630,2.383,3.535,-14.827,-0.182,0.634
0.778,20.551,1.586,2.579,3.492,-14.834,-0.390,0.590
0.783,20.762,1.558,2.777,3.463,-14.841,-0.597,0.550
0.788,20.958,1.550,2.956,3.456,-14.847,-0.790,0.516
0.793,21.125,1.562,3.097,3.469,-14.852,-0.955,0.494
0.798,21.251,1.574,3.190,3.480,-14.855,-1.081,0.485
0.803,21.326,1.571,3.236,3.471,-14.856,-1.156,0.494
0.808,21.361,1.564,3.259,3.458,-14.855,-1.181,0.517
0.813,21.391,1.567,3.280,3.461,-14.853,-1.173,0.547
0.818,21.431,1.572,3.291,3.467,-14.850,-1.145,0.575
0.823,21.470,1.567,3.279,3.461,-14.847,-1.111,0.593
0.828,21.493,1.564,3.259,3.458,-14.844,-1.088,0.595
0.833,21.517,1.574,3.248,3.474,-14.843,-1.089,0.572
0.837,21.586,1.576,3.237,3.482,-14.844,-1.130,0.515
0.842,21.721,1.540,3.206,3.442,-14.848,-1.223,0.418
0.847,21.922,1.478,3.167,3.373,-14.855,-1.372,0.283
0.852,22.173,1.420,3.138,3.316,-14.864,-1.563,0.120
0.857,22.458,1.382,3.130,3.285,-14.877,-1.784,-0.059
0.862,22.759,1.374,3.148,3.284,-14.893,-2.023,-0.241
0.867,23.059,1.411,3.189,3.326,-14.911,-2.266,-0.416
0.872,23.342,1.507,3.250,3.422,-14.931,-2.502,-0.570
0.877,23.591,1.609,3.330,3.522,-14.955,-2.718,-0.693
0.882,23.792,1.629,3.431,3.541,-14.980,-2.900,-0.773
0.887,23.942,1.573,3.521,3.485,-15.008,-3.045,-0.805
0.892,24.058,1.520,3.548,3.432,-15.036,-3.157,-0.799
0.897,24.155,1.503,3.509,3.414,-15.064,-3.242,-0.762
0.901,24.245,1.514,3.442,3.426,-15.090,-3.306,-0.704
0.906,24.336,1.543,3.373,3.454,-15.113,-3.357,-0.632
0.911,24.424,1.573,3.309,3.484,-15.132,-3.399,-0.557
0.916,24.506,1.588,3.253,3.499,-15.146,-3.439,-0.486
0.921,24.579,1.574,3.196,3.485,-15.152,-3.484,-0.429
0.926,24.644,1.537,3.136,3.449,-15.151,-3.536,-0.391
0.931,24.708,1.508,3.073,3.420,-15.145,-3.595,-0.368
0.936,24.773,1.502,3.009,3.414,-15.134,-3.659,-0.359
0.941,24.842,1.509,2.943,3.421,-15.121,-3.727,-0.360
0.946,24.913,1.522,2.878,3.434,-15.106,-3.795,-0.368
0.951,24.984,1.544,2.814,3.455,-15.092,-3.864,-0.379
0.956,25.053,1.568,2.753,3.479,-15.080,-3.931,-0.392
0.961,25.117,1.578,2.694,3.489,-15.070,-3.994,-0.402
0.966,25.175,1.565,2.640,3.476,-15.066,-4.052,-0.407
0.970,25.229,1.548,2.589,3.459,-15.065,-4.105,-0.408
0.975,25.279,1.544,2.540,3.454,-15.068,-4.155,-0.405
0.980,25.326,1.547,2.494,3.458,-15.074,-4.201,-0.399
0.985,25.371,1.554,2.450,3.465,-15.082,-4.245,-0.390
0.990,25.416,1.563,2.407,3.474,-15.091,-4.287,-0.380
0.995,25.459,1.575,2.365,3.486,-15.102,-4.327,-0.368
1.000,25.503,1.589,2.323,3.499,-15.114,-4.367,-0.355
