T,Distance,Radius,FreeRadius,BRadius,X,Y,Z,,,Weighted Radius,Weighted FreeRadius,Weighted Bradius
0,0,1.226,1.446,3.148,-4.306,8.275,6.865,,,0.127504,0.150384,0.327392
0.005,0.104,1.236,1.519,3.157,-4.39,8.251,6.921,,,0.12978,0.159495,0.331485
0.01,0.209,1.248,1.592,3.169,-4.475,8.226,6.977,,,0.13104,0.16716,0.332745
0.015,0.314,1.264,1.666,3.187,-4.558,8.198,7.035,,,0.135248,0.178262,0.341009
0.02,0.421,1.284,1.74,3.209,-4.641,8.166,7.095,,,0.139956,0.18966,0.349781
0.025,0.53,1.307,1.811,3.233,-4.722,8.129,7.158,,,0.147691,0.204643,0.365329
0.03,0.643,1.335,1.883,3.26,-4.802,8.086,7.224,,,0.15486,0.218428,0.37816
0.035,0.759,1.367,1.958,3.294,-4.879,8.035,7.295,,,0.168141,0.240834,0.405162
0.04,0.882,1.404,2.034,3.332,-4.955,7.975,7.371,,,0.18252,0.26442,0.43316
0.045,1.012,1.447,2.108,3.376,-5.027,7.905,7.452,,,0.201133,0.293012,0.469264
0.05,1.151,1.497,2.181,3.425,-5.097,7.823,7.54,,,0.223053,0.324969,0.510325
0.055,1.3,1.554,2.254,3.482,-5.163,7.729,7.635,,,0.242424,0.351624,0.543192
0.06,1.456,1.618,2.332,3.546,-5.226,7.625,7.734,,,0.260498,0.375452,0.570906
0.065,1.617,1.688,2.417,3.616,-5.283,7.515,7.837,,,0.273456,0.391554,0.585792
0.07,1.779,1.763,2.489,3.691,-5.336,7.402,7.94,,,0.28208,0.39824,0.59056
0.075,1.939,1.84,2.528,3.767,-5.383,7.289,8.042,,,0.28152,0.386784,0.576351
0.08,2.092,1.917,2.547,3.842,-5.423,7.178,8.14,,,0.274131,0.364221,0.549406
0.085,2.235,1.991,2.566,3.914,-5.456,7.074,8.233,,,0.260821,0.336146,0.512734
0.09,2.366,2.059,2.586,3.98,-5.481,6.978,8.318,,,0.232667,0.292218,0.44974
0.095,2.479,2.117,2.602,4.038,-5.498,6.895,8.393,,,0.196881,0.241986,0.375534
0.101,2.572,2.162,2.613,4.083,-5.506,6.828,8.456,,,0.153502,0.185523,0.289893
0.106,2.643,2.192,2.617,4.113,-5.505,6.777,8.506,,,0.118368,0.141318,0.222102
0.111,2.697,2.209,2.615,4.131,-5.496,6.74,8.545,,,0.092778,0.10983,0.173502
0.116,2.739,2.217,2.606,4.138,-5.482,6.713,8.573,,,0.075378,0.088604,0.140692
0.121,2.773,2.219,2.593,4.14,-5.463,6.693,8.593,,,0.071008,0.082976,0.13248
0.126,2.805,2.219,2.576,4.14,-5.441,6.674,8.607,,,0.071008,0.082432,0.13248
0.131,2.837,2.22,2.555,4.142,-5.419,6.654,8.617,,,0.07548,0.08687,0.140828
0.136,2.871,2.228,2.533,4.149,-5.398,6.627,8.623,,,0.091348,0.103853,0.170109
0.141,2.912,2.244,2.511,4.165,-5.379,6.592,8.629,,,0.114444,0.128061,0.212415
0.146,2.963,2.275,2.49,4.196,-5.365,6.543,8.636,,,0.1547,0.16932,0.285328
0.151,3.031,2.323,2.472,4.244,-5.357,6.476,8.646,,,0.202101,0.215064,0.369228
0.156,3.118,2.389,2.46,4.31,-5.356,6.39,8.66,,,0.248456,0.25584,0.44824
0.161,3.222,2.448,2.454,4.366,-5.364,6.288,8.676,,,0.286416,0.287118,0.510822
0.166,3.339,2.469,2.457,4.385,-5.379,6.174,8.694,,,0.311094,0.309582,0.55251
0.171,3.465,2.472,2.47,4.386,-5.404,6.05,8.711,,,0.328776,0.32851,0.583338
0.176,3.598,2.49,2.494,4.402,-5.437,5.923,8.726,,,0.33864,0.339184,0.598672
0.181,3.734,2.527,2.528,4.436,-5.48,5.794,8.738,,,0.343672,0.343808,0.603296
0.186,3.87,2.572,2.569,4.48,-5.532,5.669,8.745,,,0.344648,0.344246,0.60032
0.191,4.004,2.626,2.625,4.533,-5.594,5.55,8.746,,,0.344006,0.343875,0.593823
0.196,4.135,2.689,2.699,4.597,-5.667,5.442,8.739,,,0.338814,0.340074,0.579222
0.201,4.261,2.74,2.766,4.648,-5.751,5.349,8.722,,,0.33702,0.340218,0.571704
0.206,4.384,2.752,2.791,4.659,-5.844,5.273,8.696,,,0.332992,0.337711,0.563739
0.211,4.505,2.736,2.779,4.642,-5.943,5.212,8.661,,,0.325584,0.330701,0.552398
0.216,4.624,2.717,2.752,4.624,-6.044,5.167,8.62,,,0.307021,0.310976,0.522512
0.221,4.737,2.701,2.725,4.608,-6.143,5.135,8.575,,,0.289007,0.291575,0.493056
0.226,4.844,2.683,2.712,4.591,-6.236,5.114,8.527,,,0.257568,0.260352,0.440736
0.231,4.94,2.665,2.714,4.573,-6.318,5.104,8.478,,,0.21853,0.222548,0.374986
0.236,5.022,2.65,2.725,4.557,-6.386,5.103,8.431,,,0.1749,0.17985,0.300762
0.241,5.088,2.639,2.744,4.547,-6.436,5.11,8.388,,,0.129311,0.134456,0.222803
0.246,5.137,2.634,2.771,4.541,-6.462,5.123,8.349,,,0.094824,0.099756,0.163476
0.251,5.173,2.623,2.805,4.531,-6.462,5.141,8.318,,,0.107543,0.115005,0.185771
0.256,5.214,2.595,2.842,4.503,-6.435,5.162,8.295,,,0.13494,0.147784,0.234156
0.261,5.266,2.556,2.88,4.464,-6.389,5.182,8.279,,,0.145692,0.16416,0.254448
0.266,5.323,2.522,2.916,4.429,-6.335,5.196,8.269,,,0.13871,0.16038,0.243595
0.271,5.378,2.497,2.945,4.405,-6.28,5.202,8.263,,,0.117359,0.138415,0.207035
0.276,5.425,2.482,2.964,4.39,-6.235,5.195,8.26,,,0.08687,0.10374,0.15365
