"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,1.23,1.45,3.15,0,0.00,0.57,0,0,1.93,0.28,1.25,66,0.79,0.79,-0.06
2,1.32,1.84,3.24,0,0.57,2.11,0,0,2.70,0.64,0.54,66,1.33,1.33,-0.35
3,1.93,2.55,3.85,0,2.11,2.46,0,0,2.73,0.82,0.49,62,1.62,1.62,-0.71
4,2.11,2.48,4.03,0,2.46,3.25,0,0,2.10,0.50,1.07,62,1.13,1.13,-0.41
5,2.46,2.45,4.38,0,3.25,3.59,0,0,1.68,0.34,1.30,65,0.89,0.89,-0.06
6,2.49,2.49,4.40,0,3.59,4.29,0,0,1.75,0.48,1.02,67,1.30,1.30,-0.56
7,2.75,2.78,4.66,0,4.29,4.62,0,0,1.32,0.22,1.49,67,0.87,0.87,-0.28
8,2.72,2.75,4.62,0,4.62,4.90,0,0,1.32,0.22,1.49,67,0.87,0.87,-0.28
9,2.48,2.71,4.39,0,4.90,6.37,0,0,2.24,0.61,0.84,75,1.40,1.40,-0.70
10,2.38,2.57,4.29,0,6.37,7.33,0,0,2.10,0.43,0.97,83,1.13,1.13,-0.43
11,2.14,2.36,4.04,1,7.33,8.31,0,0,1.55,0.22,1.81,74,0.64,0.64,-0.37
12,2.18,2.39,4.08,0,8.31,9.04,0,0,2.20,0.56,1.29,74,1.14,1.14,-0.77
13,2.29,2.51,4.18,0,9.04,9.35,0,0,1.43,0.85,1.49,58,1.51,1.51,-1.20
14,2.15,2.50,4.05,1,9.35,9.90,0,0,0.42,0.09,2.47,61,0.36,0.36,-0.27
15,2.35,2.53,4.25,0,9.90,10.31,0,0,0.63,0.31,2.25,61,0.67,0.67,-0.54
16,2.31,2.45,4.21,0,10.31,11.26,0,0,1.00,0.40,2.09,55,0.70,0.70,-0.40
17,2.27,2.51,4.17,0,11.26,11.63,0,0,1.35,0.70,1.77,55,1.09,1.09,-0.70
18,2.17,2.65,4.07,1,11.63,12.05,0,0,1.92,0.79,1.44,66,1.23,1.23,-0.82
19,2.18,2.88,4.09,0,12.05,12.47,0,0,2.50,1.19,0.96,66,1.76,1.76,-1.23
20,2.14,2.84,4.04,0,12.47,12.70,0,0,1.30,0.73,1.47,69,1.34,1.34,-0.96
21,2.13,2.69,4.04,0,12.70,13.89,0,0,0.58,0.63,1.81,62,1.23,1.23,-0.87
22,2.06,2.71,3.96,0,13.89,15.38,0,0,1.08,0.89,1.47,77,1.58,1.58,-1.38
23,1.99,3.33,3.88,1,15.38,17.95,0,0,0.03,0.81,1.92,70,1.50,1.50,-1.40
24,2.29,3.31,4.20,0,17.95,18.15,0,0,0.98,0.89,1.47,66,1.65,1.65,-1.50
25,2.21,3.06,4.12,1,18.15,19.51,0,0,2.47,1.55,0.79,60,2.30,2.30,-2.04
26,2.32,2.86,4.22,0,19.51,19.65,0,0,2.80,1.45,0.62,59,2.25,2.25,-1.98
27,2.41,2.77,4.31,0,19.65,19.82,0,0,2.16,1.00,1.17,59,1.63,1.63,-1.42
28,2.32,2.85,4.21,0,19.82,20.07,0,0,2.80,1.45,0.62,59,2.25,2.25,-1.98
29,2.14,3.03,4.03,0,20.07,20.33,0,0,2.23,1.33,0.79,44,2.25,2.25,-2.02
30,2.04,3.10,3.94,0,20.33,21.18,0,0,1.45,1.43,1.12,39,2.34,2.34,-2.14
31,1.75,2.69,3.66,0,21.18,21.86,0,0,2.23,1.33,0.79,44,2.25,2.25,-2.02
32,1.29,1.28,3.20,0,21.86,23.26,0,0,1.58,0.80,1.44,44,1.47,1.47,-1.31
33,1.14,1.14,3.05,0,23.26,23.80,0,0,0.53,0.31,2.25,39,0.74,0.74,-0.66
34,1.05,1.24,2.96,1,23.80,24.85,0,0,0.83,0.68,1.87,39,1.27,1.27,-1.15
35,1.09,1.25,3.00,0,24.85,24.85,0,0,0.30,0.79,1.81,43,1.50,1.50,-1.23

