T,Distance,Radius,FreeRadius,BRadius,X,Y,Z,,,Weighted Radius,Weighted FreeRadius,Weighted Bradius
0,0,1.2,1.42,3.111,8.847,-10.589,-0.044,,,0.24,0.284,0.6222
0.005,0.2,1.207,1.381,3.117,8.693,-10.463,-0.023,,,0.235365,0.269295,0.607815
0.009,0.395,1.222,1.354,3.132,8.546,-10.336,-0.004,,,0.228514,0.253198,0.585684
0.014,0.582,1.252,1.35,3.164,8.412,-10.206,0.009,,,0.2191,0.23625,0.5537
0.019,0.757,1.297,1.378,3.21,8.299,-10.073,0.014,,,0.210114,0.223236,0.52002
0.023,0.919,1.352,1.444,3.266,8.214,-9.935,0.009,,,0.20956,0.22382,0.50623
0.028,1.074,1.415,1.533,3.329,8.163,-9.79,-0.009,,,0.22074,0.239148,0.519324
0.033,1.23,1.486,1.616,3.4,8.153,-9.638,-0.043,,,0.258564,0.281184,0.5916
0.038,1.404,1.566,1.682,3.48,8.191,-9.476,-0.095,,,0.319464,0.343128,0.70992
0.042,1.608,1.659,1.74,3.573,8.28,-9.307,-0.166,,,0.388206,0.40716,0.836082
0.047,1.842,1.765,1.804,3.679,8.41,-9.133,-0.252,,,0.446545,0.456412,0.930787
0.052,2.095,1.885,1.901,3.799,8.57,-8.961,-0.348,,,0.491985,0.496161,0.991539
0.056,2.356,2.015,2.042,3.93,8.746,-8.797,-0.448,,,0.51584,0.522752,1.00608
0.061,2.612,2.15,2.208,4.065,8.928,-8.646,-0.548,,,0.516,0.52992,0.9756
0.066,2.852,2.283,2.376,4.197,9.104,-8.514,-0.642,,,0.474864,0.494208,0.872976
0.07,3.06,2.4,2.531,4.315,9.261,-8.406,-0.725,,,0.3912,0.412553,0.703345
0.075,3.223,2.492,2.659,4.408,9.388,-8.328,-0.791,,,0.281596,0.300467,0.498104
0.08,3.336,2.554,2.756,4.472,9.479,-8.281,-0.839,,,0.176226,0.190164,0.308568
0.085,3.405,2.588,2.819,4.505,9.538,-8.261,-0.869,,,0.095756,0.104303,0.166685
0.089,3.442,2.597,2.854,4.515,9.571,-8.261,-0.886,,,0.05194,0.05708,0.0903
0.094,3.462,2.591,2.869,4.508,9.585,-8.275,-0.89,,,0.054411,0.060249,0.094668
