"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,1.20,1.35,3.11,0,0.00,0.97,0,0,2.65,1.06,0.92,47,1.67,1.67,-0.83
2,1.37,1.47,3.29,0,0.97,3.20,0,0,1.63,0.44,1.74,47,0.82,0.82,-0.28
3,2.49,2.66,4.41,0,3.20,3.41,0,0,1.68,0.34,1.30,65,0.89,0.89,-0.06
4,2.55,2.84,4.47,0,3.41,3.73,0,0,2.48,0.87,0.55,61,1.73,1.73,-0.72
5,2.72,2.92,4.63,0,3.73,4.11,0,0,2.47,0.91,0.23,67,2.02,2.02,-1.01
6,2.74,2.93,4.65,0,4.11,4.61,0,0,1.75,0.48,1.02,67,1.30,1.30,-0.56
7,2.73,2.85,4.64,0,4.61,4.89,0,0,1.96,0.65,0.89,63,1.54,1.54,-0.81
8,2.58,2.83,4.49,0,4.89,5.69,0,0,2.24,0.61,0.84,75,1.40,1.40,-0.70
9,2.56,2.75,4.47,0,5.69,6.61,0,0,2.10,0.43,0.97,83,1.13,1.13,-0.43
10,2.17,2.46,4.07,0,6.61,7.66,0,0,1.55,0.22,1.81,74,0.64,0.64,-0.37
11,2.11,2.35,4.00,1,7.66,8.44,0,0,2.20,0.56,1.29,74,1.14,1.14,-0.77
12,2.12,2.42,4.00,1,8.44,8.86,0,0,1.43,0.85,1.49,58,1.51,1.51,-1.20
13,2.05,2.45,3.94,1,8.86,9.23,0,0,0.42,0.09,2.47,61,0.36,0.36,-0.27
14,2.20,2.45,4.09,0,9.23,9.95,0,0,0.63,0.31,2.25,61,0.67,0.67,-0.54
15,2.27,2.41,4.17,0,9.95,10.77,0,0,1.00,0.40,2.09,55,0.70,0.70,-0.40
16,2.09,2.56,3.99,0,10.77,11.64,0,0,1.35,0.70,1.77,55,1.09,1.09,-0.70
17,2.04,2.56,3.96,1,11.64,12.68,0,0,1.28,0.71,1.34,68,1.27,1.27,-0.71
18,2.06,2.55,3.97,0,12.68,13.47,-1,1,-0.65,0.14,13.79,63,0.94,0.29,0.17
19,2.05,2.58,3.94,0,13.47,14.74,-1,1,-0.15,0.40,13.45,78,1.29,0.64,-0.33
20,1.88,3.07,3.76,0,14.74,15.62,-1,1,0.03,0.79,17.38,68,1.77,0.90,-0.70
21,1.80,2.94,3.70,1,15.62,17.48,0,0,0.97,0.92,1.30,78,1.56,1.56,-1.19
22,1.89,2.58,3.79,0,17.48,18.68,0,0,1.43,1.03,1.06,71,1.79,1.79,-1.34
23,1.90,2.04,3.80,0,18.68,19.46,0,0,0.40,0.76,1.37,61,1.64,1.64,-1.17
24,1.94,1.93,3.85,0,19.46,19.53,0,0,1.25,0.86,1.06,59,1.75,1.75,-1.33
25,1.92,1.92,3.83,0,19.53,20.08,0,0,1.33,0.85,1.49,43,1.58,1.58,-1.32
26,1.78,2.38,3.69,0,20.08,22.09,0,0,1.90,1.40,0.86,43,2.39,2.39,-2.03
27,1.75,3.40,3.66,1,22.09,22.62,0,0,1.25,0.86,1.06,59,1.75,1.75,-1.33
28,1.82,3.51,3.72,0,22.62,22.99,0,0,1.52,1.45,1.01,41,2.45,2.45,-2.07
29,1.72,3.33,3.64,0,22.99,23.40,0,0,2.13,1.39,0.73,45,2.41,2.41,-1.97
30,1.19,1.45,3.11,0,23.40,25.96,0,0,1.90,1.40,0.86,43,2.39,2.39,-2.03
31,1.16,1.27,3.09,1,25.96,26.61,0,0,0.50,0.75,1.94,38,1.41,1.41,-1.16

