"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,1.14,1.30,3.07,0,0.00,0.02,0,0,0.57,-0.28,2.75,44,-0.29,-0.29,0.59
2,1.14,1.30,3.07,1,0.02,0.12,0,0,1.97,0.37,1.66,49,0.69,0.69,-0.27
3,1.19,1.32,3.11,0,0.12,0.21,0,0,0.57,-0.28,2.75,44,-0.29,-0.29,0.59
4,1.21,1.35,3.14,0,0.21,0.46,0,0,0.57,-0.28,2.75,44,-0.29,-0.29,0.59
5,1.23,1.47,3.15,0,0.46,1.54,0,0,1.93,0.28,1.25,66,0.79,0.79,-0.06
6,1.42,2.10,3.35,0,1.54,3.17,0,0,2.70,0.64,0.54,66,1.33,1.33,-0.35
7,2.22,2.89,4.14,0,3.17,3.66,0,0,2.73,0.82,0.49,62,1.62,1.62,-0.71
8,2.41,2.85,4.33,0,3.66,3.76,0,0,2.74,0.93,0.46,60,1.80,1.80,-0.93
9,2.44,2.80,4.36,0,3.76,4.17,0,0,2.48,0.87,0.55,61,1.73,1.73,-0.72
10,2.70,2.90,4.62,0,4.17,4.61,0,0,2.47,0.91,0.23,67,2.02,2.02,-1.01
11,2.72,2.91,4.63,0,4.61,5.26,0,0,1.75,0.48,1.02,67,1.30,1.30,-0.56
12,2.55,2.82,4.46,0,5.26,6.64,0,0,2.24,0.61,0.84,75,1.40,1.40,-0.70
13,2.44,2.61,4.35,0,6.64,7.77,0,0,2.10,0.43,0.97,83,1.13,1.13,-0.43
14,2.12,2.37,4.02,1,7.77,8.86,0,0,1.55,0.22,1.81,74,0.64,0.64,-0.37
15,2.28,2.44,4.17,0,8.86,9.47,0,0,1.43,0.85,1.49,58,1.51,1.51,-1.20
16,2.14,2.53,4.04,1,9.47,9.95,0,0,1.06,0.52,1.87,58,1.03,1.03,-0.79
17,2.35,2.54,4.24,0,9.95,10.52,0,0,0.63,0.31,2.25,61,0.67,0.67,-0.54
18,2.41,2.49,4.31,0,10.52,10.93,0,0,1.00,0.40,2.09,55,0.70,0.70,-0.40
19,2.14,2.53,4.04,0,10.93,11.92,0,0,1.35,0.70,1.77,55,1.09,1.09,-0.70
20,2.10,2.61,4.01,0,11.92,12.84,0,0,1.28,0.71,1.34,68,1.27,1.27,-0.71
21,2.06,2.50,3.97,1,12.84,14.10,0,0,-0.65,0.15,2.19,65,0.74,0.74,-0.36
22,2.15,2.53,4.05,0,14.10,14.76,0,0,-0.15,0.41,1.86,79,1.09,1.09,-0.86
23,2.05,2.76,3.95,0,14.76,15.45,0,0,-0.26,0.18,1.82,85,0.84,0.84,-0.53
24,1.85,3.10,3.75,1,15.45,16.42,0,0,-0.15,0.41,1.86,79,1.09,1.09,-0.86
25,1.89,3.72,3.78,0,16.42,16.61,0,0,0.03,0.81,1.92,70,1.50,1.50,-1.40
26,1.87,3.49,3.77,1,16.61,19.01,0,0,0.97,0.92,1.30,78,1.56,1.56,-1.19
27,1.95,3.49,3.85,0,19.01,19.42,0,0,1.83,1.51,1.22,73,2.10,2.10,-1.68
28,2.06,2.87,3.97,0,19.42,20.12,0,0,1.20,0.94,1.33,82,1.54,1.54,-1.07
29,2.21,2.76,4.12,0,20.12,20.47,0,0,1.72,0.98,1.09,76,1.65,1.65,-1.21
30,2.15,2.92,4.06,0,20.47,21.01,0,0,1.03,0.77,1.33,69,1.50,1.50,-1.06
31,1.92,3.22,3.84,0,21.01,22.63,0,0,1.60,1.28,1.22,57,2.05,2.05,-1.66
32,1.28,1.54,3.21,0,22.63,24.79,0,0,1.60,1.28,1.22,57,2.05,2.05,-1.66
33,1.05,1.32,2.98,0,24.79,26.08,0,0,0.20,0.64,2.30,59,1.07,1.07,-0.80
34,0.86,1.42,2.79,1,26.08,28.35,0,0,-0.10,1.27,1.71,56,2.08,2.08,-1.55
35,0.87,2.74,2.80,0,28.35,28.42,0,0,-1.10,1.41,1.86,37,2.39,2.39,-1.96

